,Hour,SegmentId,Count
1,0,0018123,0
2,0,0018126,0
3,0,0018129,0
4,0,0240695,1
5,0,0018141,1
6,0,0018147,0
7,0,0018151,0
8,0,0018154,1
9,0,0018155,0
10,0,0018163,0
11,0,0018183,0
12,0,0022993,0
13,0,0023001,0
14,0,0023002,0
15,0,0023004,0
16,0,0023005,0
17,0,0023006,0
18,0,0023016,0
19,0,0023018,0
20,0,0023021,0
21,0,0023042,0
22,0,0023051,0
23,0,0023060,0
24,0,0023061,0
25,0,0023063,0
26,0,0023065,1
27,0,0023066,1
28,0,0023073,0
29,0,0023078,0
30,0,0023079,1
31,0,0023083,0
32,0,0023086,0
33,0,0023087,0
34,0,0023088,0
35,0,0283009,0
36,0,0023094,0
37,0,0023137,0
38,0,0023137,0
39,0,0023138,2
40,0,0023140,5
41,0,0023141,3
42,0,0023144,0
43,0,0023148,0
44,0,0023150,0
45,0,0023151,0
46,0,0023160,2
47,0,0023161,5
48,0,0023165,1
49,0,0023167,0
50,0,0023168,0
51,0,0023169,1
52,0,0023144,0
53,0,0023171,1
54,0,0023173,4
55,0,0023174,3
56,0,0023175,3
57,0,0023177,4
58,0,0023178,1
59,0,0023181,0
60,0,0023182,1
61,0,0023183,1
62,0,0023185,5
63,0,0023065,0
64,0,0023195,0
65,0,0023197,1
66,0,0023198,0
67,0,0023199,0
68,0,0023202,0
69,0,0023204,0
70,0,0023206,0
71,0,0023208,0
72,0,0023209,1
73,0,0023211,0
74,0,0023213,1
75,0,0023214,1
76,0,0023216,1
77,0,0023217,0
78,0,0023221,0
79,0,0286373,0
80,0,0023227,1
81,0,0023229,0
82,0,0023230,0
83,0,0023240,0
84,0,0023241,0
85,0,0023242,0
86,0,0023244,1
87,0,0023252,0
88,0,0023254,0
89,0,0023255,0
90,0,0023257,1
91,0,0023258,0
92,0,0023259,2
93,0,0023260,1
94,0,0023295,5
95,0,0023297,0
96,0,0023298,0
97,0,0023299,0
98,0,0023300,0
99,0,0023301,0
100,0,0023302,1
101,0,0023312,1
102,0,0023315,0
103,0,0023316,0
104,0,0023317,0
105,0,0023318,0
106,0,0023320,1
107,0,0023322,2
108,0,0023324,0
109,0,0023329,1
110,0,0023332,0
111,0,0023328,0
112,0,0023336,0
113,0,0023338,0
114,0,0023339,1
115,0,0023340,0
116,0,0023343,0
117,0,0023344,0
118,0,0023345,0
119,0,0023347,5
120,0,0023349,1
121,0,0023352,0
122,0,0023353,0
123,0,0023356,0
124,0,0023357,1
125,0,0023362,1
126,0,0023363,0
127,0,0023364,0
128,0,0023367,0
129,0,0023368,0
130,0,0023369,0
131,0,0023371,0
132,0,0023372,0
133,0,0023380,0
134,0,0023389,0
135,0,0023394,1
136,0,0023395,0
137,0,0023397,0
138,0,0023400,1
139,0,0023402,0
140,0,0023403,0
141,0,0023404,0
142,0,0023406,0
143,0,0023407,1
144,0,0023408,0
145,0,0023447,0
146,0,0023459,0
147,0,0023462,2
148,0,0023474,0
149,0,0023481,0
150,0,0023484,0
151,0,0023514,0
152,0,0023548,0
153,0,0023556,0
154,0,0023577,0
155,0,0023750,0
156,0,0023752,0
157,0,0023754,1
158,0,0023758,0
159,0,0023759,1
160,0,0023772,1
161,0,0023778,0
162,0,0023779,1
163,0,0023787,3
164,0,0023790,0
165,0,0023792,1
166,0,0023933,0
167,0,0023934,0
168,0,0023935,0
169,0,0023946,0
170,0,0252003,0
171,0,0023954,5
172,0,0032484,0
173,0,0023971,0
174,0,0023972,0
175,0,0024134,0
176,0,0024135,0
177,0,0024136,0
178,0,0024147,1
179,0,0024150,0
180,0,0024159,0
181,0,0024160,0
182,0,0024161,5
183,0,0024166,1
184,0,0024164,1
185,0,0024165,0
186,0,0024166,0
187,0,0024168,2
188,0,0024169,0
189,0,0024172,0
190,0,0024175,1
191,0,0024344,1
192,0,0024364,2
193,0,0024365,2
194,0,0024366,0
195,0,0024367,1
196,0,0277233,0
197,0,0024371,1
198,0,0024372,5
199,0,0024376,1
200,0,0024377,0
201,0,0024540,2
202,0,0024541,0
203,0,0024545,0
204,0,0024548,0
205,0,0024550,0
206,0,0024555,0
207,0,0024741,0
208,0,0024743,0
209,0,0024746,0
210,0,0024747,0
211,0,0024751,0
212,0,0030023,0
213,0,0031432,0
214,0,0031434,0
215,0,0031463,0
216,0,0240761,1
217,0,0031478,1
218,0,0164119,1
219,0,0031536,0
220,0,0031538,0
221,0,0031539,0
222,0,0031540,0
223,0,0031543,3
224,0,0031544,1
225,0,0031555,1
226,0,0031565,0
227,0,0031566,0
228,0,0031567,0
229,0,0031571,0
230,0,0031581,0
231,0,0031589,0
232,0,0031591,0
233,0,0031593,0
234,0,0031595,0
235,0,0031598,1
236,0,0031599,0
237,0,0031602,0
238,0,0031606,0
239,0,0164140,1
240,0,0031622,0
241,0,0295112,0
242,0,0031632,2
243,0,0294093,0
244,0,0031641,0
245,0,0031643,0
246,0,0031675,0
247,0,0314070,1
248,0,0031701,1
249,0,0031702,0
250,0,0031723,0
251,0,0031725,0
252,0,0031752,0
253,0,0031763,0
254,0,0031764,2
255,0,0031765,0
